date_key,date_jour,annee,trimestre,mois,mois_nom,jour,semaine_iso,jour_semaine_num,jour_semaine_nom,est_weekend,annee_mois,annee_trimestre,debut_mois,debut_semaine
20221117,2022-11-17,2022,4,11,November,17,46,4,Thursday,false,2022-11,2022-T4,2022-11-01,2022-11-14
20221118,2022-11-18,2022,4,11,November,18,46,5,Friday,false,2022-11,2022-T4,2022-11-01,2022-11-14
20221119,2022-11-19,2022,4,11,November,19,46,6,Saturday,true,2022-11,2022-T4,2022-11-01,2022-11-14
20221120,2022-11-20,2022,4,11,November,20,46,7,Sunday,true,2022-11,2022-T4,2022-11-01,2022-11-14
20221121,2022-11-21,2022,4,11,November,21,47,1,Monday,false,2022-11,2022-T4,2022-11-01,2022-11-21
20221122,2022-11-22,2022,4,11,November,22,47,2,Tuesday,false,2022-11,2022-T4,2022-11-01,2022-11-21
20221123,2022-11-23,2022,4,11,November,23,47,3,Wednesday,false,2022-11,2022-T4,2022-11-01,2022-11-21
20221124,2022-11-24,2022,4,11,November,24,47,4,Thursday,false,2022-11,2022-T4,2022-11-01,2022-11-21
20221125,2022-11-25,2022,4,11,November,25,47,5,Friday,false,2022-11,2022-T4,2022-11-01,2022-11-21
20221126,2022-11-26,2022,4,11,November,26,47,6,Saturday,true,2022-11,2022-T4,2022-11-01,2022-11-21
20221127,2022-11-27,2022,4,11,November,27,47,7,Sunday,true,2022-11,2022-T4,2022-11-01,2022-11-21
20221128,2022-11-28,2022,4,11,November,28,48,1,Monday,false,2022-11,2022-T4,2022-11-01,2022-11-28
20221129,2022-11-29,2022,4,11,November,29,48,2,Tuesday,false,2022-11,2022-T4,2022-11-01,2022-11-28
20221130,2022-11-30,2022,4,11,November,30,48,3,Wednesday,false,2022-11,2022-T4,2022-11-01,2022-11-28
20221201,2022-12-01,2022,4,12,December,1,48,4,Thursday,false,2022-12,2022-T4,2022-12-01,2022-11-28
20221202,2022-12-02,2022,4,12,December,2,48,5,Friday,false,2022-12,2022-T4,2022-12-01,2022-11-28
20221203,2022-12-03,2022,4,12,December,3,48,6,Saturday,true,2022-12,2022-T4,2022-12-01,2022-11-28
20221204,2022-12-04,2022,4,12,December,4,48,7,Sunday,true,2022-12,2022-T4,2022-12-01,2022-11-28
20221205,2022-12-05,2022,4,12,December,5,49,1,Monday,false,2022-12,2022-T4,2022-12-01,2022-12-05
20221206,2022-12-06,2022,4,12,December,6,49,2,Tuesday,false,2022-12,2022-T4,2022-12-01,2022-12-05
20221207,2022-12-07,2022,4,12,December,7,49,3,Wednesday,false,2022-12,2022-T4,2022-12-01,2022-12-05
20221208,2022-12-08,2022,4,12,December,8,49,4,Thursday,false,2022-12,2022-T4,2022-12-01,2022-12-05
20221209,2022-12-09,2022,4,12,December,9,49,5,Friday,false,2022-12,2022-T4,2022-12-01,2022-12-05
20221210,2022-12-10,2022,4,12,December,10,49,6,Saturday,true,2022-12,2022-T4,2022-12-01,2022-12-05
