segment_valeur,nb_clients,ca_segment_usd,ca_moyen_par_client,transactions_par_client,panier_moyen_usd,ca_client_min,ca_client_max,pct_clients,pct_ca
1. Occasionnel,42,51543.0,1227.2142857142858,12.738095238095237,98.56871958573642,802.0,1484.0,25.301204819277107,11.960264716256102
2. Regulier,41,70477.0,1718.9512195121952,15.707317073170731,110.72106689718449,1493.0,1899.0,24.698795180722893,16.353793461916872
3. Fidele,41,87279.0,2128.756097560976,19.365853658536587,110.67994338147871,1912.0,2690.0,24.698795180722893,20.252603538213073
4. VIP,42,221653.0,5277.452380952381,18.5,304.0152131199081,2857.0,9685.0,25.301204819277107,51.43333828361395
